feature	index	idf
10	0	2.9427997266409207
10 10	1	3.8270021439635755
amable	2	4.574216545793796
amable 10	3	5.672828834461906
atención	4	3.9382277790737996
atención 10	5	5.385146762010125
atención la	6	5.672828834461906
atención nunca	7	5.672828834461906
atención súper	8	5.672828834461906
buen	9	4.574216545793796
buen trato	10	4.574216545793796
buena	11	3.9382277790737996
buena atención	12	4.574216545793796
buena calidad	13	4.574216545793796
calidad	14	3.2749335616635356
calidad jamás	15	5.672828834461906
calidad nunca	16	5.672828834461906
calidad para	17	5.385146762010125
calidad superior	18	4.574216545793796
calidad terrible	19	4.574216545793796
caro	20	4.574216545793796
caro mala	21	4.574216545793796
cinco	22	4.574216545793796
cinco estrellas	23	4.574216545793796
comida	24	3.9382277790737996
comida estaba	25	3.9382277790737996
comprar	26	3.9382277790737996
comprar 10	27	5.385146762010125
comprar en	28	5.672828834461906
comprar nunca	29	5.672828834461906
confiable	30	3.9382277790737996
confiable 10	31	5.672828834461906
confiable la	32	5.672828834461906
dañado	33	4.574216545793796
dañado la	34	5.672828834461906
de	35	3.1605232104857914
de lo	36	3.9382277790737996
de verdad	37	3.7269186854065928
decepcionado	38	4.574216545793796
decepcionado de	39	5.672828834461906
decepcionado en	40	5.385146762010125
del	41	3.9382277790737996
del personal	42	3.9382277790737996
deliciosa	43	4.574216545793796
deliciosa de	44	5.672828834461906
el	45	3.057869056425708
el empaque	46	3.9382277790737996
el producto	47	4.574216545793796
el soporte	48	3.9382277790737996
empaque	49	3.9382277790737996
empaque impecable	50	4.574216545793796
empaque roto	51	4.574216545793796
en	52	3.6803986697717
en serio	53	3.6803986697717
encantó	54	4.574216545793796
encantó el	55	4.574216545793796
entregado	56	3.9382277790737996
entregado tarde	57	4.574216545793796
entregado tiempo	58	4.574216545793796
esperado	59	3.9382277790737996
esperado en	60	5.385146762010125
esperado para	61	5.385146762010125
estaba	62	3.9382277790737996
estaba deliciosa	63	4.574216545793796
estaba fría	64	4.574216545793796
este	65	4.574216545793796
este producto	66	4.574216545793796
estrella	67	4.574216545793796
estrellas	68	4.574216545793796
estrellas de	69	5.385146762010125
excelente	70	4.574216545793796
excelente servicio	71	4.574216545793796
experiencia	72	3.2749335616635356
experiencia horrible	73	4.574216545793796
experiencia increíble	74	4.574216545793796
experiencia jamás	75	5.672828834461906
experiencia para	76	5.672828834461906
fría	77	4.574216545793796
fría 10	78	5.162003210695915
fue	79	3.9382277790737996
fue amable	80	4.574216545793796
fue grosero	81	4.574216545793796
funcionó	82	4.574216545793796
funcionó mejor	83	4.574216545793796
gran	84	4.574216545793796
gran experiencia	85	4.574216545793796
grosero	86	4.574216545793796
grosero la	87	5.672828834461906
horrible	88	4.574216545793796
horrible 10	89	5.672828834461906
impecable	90	4.574216545793796
increíble	91	4.574216545793796
increíble la	92	5.672828834461906
increíble súper	93	5.672828834461906
jamás	94	3.552565298261815
justo	95	4.574216545793796
justo buena	96	4.574216545793796
la	97	2.9872514892117548
la comida	98	3.9382277790737996
la verdad	99	3.439236612954812
lento	100	4.574216545793796
lento poco	101	4.574216545793796
llegó	102	3.9382277790737996
llegó dañado	103	4.574216545793796
llegó perfecto	104	4.574216545793796
lo	105	3.2749335616635356
lo esperado	106	3.9382277790737996
lo recomiendo	107	3.9382277790737996
mal	108	4.574216545793796
mal trato	109	4.574216545793796
mala	110	3.552565298261815
mala atención	111	4.574216545793796
mala calidad	112	4.574216545793796
mala experiencia	113	4.574216545793796
